date_pre,date_post,region,erosion_km2,accretion_km2
2021-12-01,2022-03-07,hoernum_odde,0.0444,0.2201
2022-03-07,2022-04-24,hoernum_odde,0.331,0.0
2022-04-24,2022-05-06,hoernum_odde,0.0,0.1081
2022-05-06,2022-06-23,hoernum_odde,0.0144,0.0296
2022-06-23,2022-07-17,hoernum_odde,0.0528,0.007
2022-07-17,2022-08-22,hoernum_odde,0.0,0.1281
2022-08-22,2022-09-03,hoernum_odde,0.1955,0.0
2022-09-03,2022-11-14,hoernum_odde,0.0167,0.0592
2022-11-14,2022-12-20,hoernum_odde,0.0056,0.1544
2022-12-20,2023-01-25,hoernum_odde,0.1227,0.0028
2023-01-25,2023-05-13,hoernum_odde,0.003,0.0435
2023-05-13,2023-05-25,hoernum_odde,0.0657,0.0058
2023-05-25,2023-07-12,hoernum_odde,0.0009,0.136
2023-07-12,2023-08-05,hoernum_odde,0.096,0.0037
2023-08-05,2023-09-10,hoernum_odde,0.0037,0.0891
2023-09-10,2024-07-30,hoernum_odde,0.0296,0.0241
2024-07-30,2024-12-09,hoernum_odde,0.019,0.0167
2017-01-02,2017-01-08,island_aggregate,1.6467,0.4313
2017-01-08,2017-01-14,island_aggregate,2.1119,23.0011
2017-01-14,2017-02-01,island_aggregate,23.5262,0.8274
2017-02-01,2017-03-15,island_aggregate,2.3917,1.0663
2017-03-15,2017-04-14,island_aggregate,0.407,2.4218
2017-04-14,2017-04-20,island_aggregate,2.218,0.1206
2017-04-20,2017-05-02,island_aggregate,0.7236,0.1023
2017-05-02,2017-05-20,island_aggregate,0.0037,4.558
2017-05-20,2017-06-13,island_aggregate,3.5084,0.9831
2017-06-13,2017-06-19,island_aggregate,1.1077,2.6718
2017-06-19,2017-07-13,island_aggregate,2.6826,2.7977
2017-07-13,2017-08-18,island_aggregate,2.7479,4.0519
2017-08-18,2017-10-23,island_aggregate,1.5144,0.4419
2017-10-23,2017-11-22,island_aggregate,1.323,0.4022
2017-11-22,2017-12-22,island_aggregate,0.6484,0.4655
2017-12-22,2018-01-09,island_aggregate,3.721,0.173
2018-01-09,2018-01-21,island_aggregate,0.173,3.5633
2018-01-21,2018-01-27,island_aggregate,0.2383,0.3531
2018-01-27,2018-02-20,island_aggregate,0.2276,0.298
2018-02-20,2018-04-09,island_aggregate,1.5155,0.0046
2018-04-09,2018-05-03,island_aggregate,0.0813,1.5398
2018-05-03,2018-05-09,island_aggregate,1.1834,0.2138
