date_pre,date_post,region,erosion_km2,accretion_km2
2017-01-02,2017-01-08,hoernum_odde,0.1408,0.0352
2017-01-08,2017-01-14,hoernum_odde,0.1548,0.1119
2017-01-14,2017-02-01,hoernum_odde,0.1133,0.0505
2017-02-01,2017-03-15,hoernum_odde,0.1398,0.1037
2017-03-15,2017-04-14,hoernum_odde,0.0684,0.1853
2017-04-14,2017-04-20,hoernum_odde,0.2077,0.0011
2017-04-20,2017-05-02,hoernum_odde,0.0234,0.0228
2017-05-02,2017-05-20,hoernum_odde,0.0015,0.2013
2017-05-20,2017-06-13,hoernum_odde,0.1498,0.1278
2017-06-13,2017-06-19,hoernum_odde,0.1401,0.1422
2017-06-19,2017-07-13,hoernum_odde,0.1409,0.0616
2017-07-13,2017-08-18,hoernum_odde,0.0561,1.1834
2017-08-18,2017-10-23,hoernum_odde,1.021,0.0166
2017-10-23,2017-11-22,hoernum_odde,0.1079,0.016
2017-11-22,2017-12-22,hoernum_odde,0.0285,0.0188
2017-12-22,2018-01-09,hoernum_odde,0.1438,0.0005
2018-01-09,2018-01-21,hoernum_odde,0.0,0.2041
2018-01-21,2018-01-27,hoernum_odde,0.0677,0.0111
2018-01-27,2018-02-20,hoernum_odde,0.0077,0.0781
2018-02-20,2018-04-09,hoernum_odde,0.1564,0.0011
2018-04-09,2018-05-03,hoernum_odde,0.0032,0.1111
2018-05-03,2018-05-09,hoernum_odde,0.0585,0.0141
2018-05-09,2018-05-21,hoernum_odde,0.0032,0.039
2018-05-21,2018-06-02,hoernum_odde,0.0053,0.0894
2018-06-02,2018-07-02,hoernum_odde,0.013,0.097
2018-07-02,2018-07-08,hoernum_odde,0.1969,0.0514
2018-07-08,2018-08-01,hoernum_odde,0.0449,0.3338
2018-08-01,2018-08-07,hoernum_odde,0.0024,4.6344
2018-08-07,2018-08-31,hoernum_odde,4.9577,0.015
2018-08-31,2018-09-12,hoernum_odde,0.0617,0.0788
2018-09-12,2018-11-11,hoernum_odde,0.0641,0.2738
2018-11-11,2018-11-17,hoernum_odde,0.2261,0.0012
2018-11-17,2018-11-29,hoernum_odde,0.0313,0.0485
2018-11-29,2018-12-11,hoernum_odde,0.0,5.3154
2018-12-11,2019-01-10,hoernum_odde,5.1716,0.0
2019-01-10,2019-02-09,hoernum_odde,0.1922,0.0565
2019-02-09,2019-03-17,hoernum_odde,0.0544,0.0881
2019-03-17,2019-03-29,hoernum_odde,0.1635,0.0109
2019-03-29,2019-04-10,hoernum_odde,0.0098,0.0418
2019-04-10,2019-04-28,hoernum_odde,0.018,0.1066
2019-04-28,2019-05-22,hoernum_odde,0.1789,0.0897
2019-05-22,2019-05-28,hoernum_odde,0.0903,0.164
2019-05-28,2019-06-21,hoernum_odde,0.0492,0.0589
2019-06-21,2019-06-27,hoernum_odde,0.0902,0.1523
2019-06-27,2019-07-27,hoernum_odde,0.1604,0.0458
2019-07-27,2019-08-26,hoernum_odde,0.0076,0.1244
2019-08-26,2019-09-19,hoernum_odde,0.082,1.1926
2019-09-19,2019-09-25,hoernum_odde,1.1924,0.0783
2019-09-25,2019-10-25,hoernum_odde,0.1261,0.0866
2019-10-25,2019-11-18,hoernum_odde,0.0905,0.0501
2019-11-18,2019-11-30,hoernum_odde,0.025,0.0948
2019-11-30,2020-02-10,hoernum_odde,0.1323,0.0458
2020-02-10,2020-03-05,hoernum_odde,0.0791,0.0941
2020-03-05,2020-03-11,hoernum_odde,0.0953,0.0257
2020-03-11,2020-04-16,hoernum_odde,0.1114,0.0127
2020-04-16,2020-04-28,hoernum_odde,0.0099,0.0551
2020-04-28,2020-05-16,hoernum_odde,0.084,0.0561
2020-05-16,2020-05-28,hoernum_odde,0.0529,1.7233
2020-05-28,2020-06-09,hoernum_odde,1.5249,0.0444
2020-06-09,2020-06-15,hoernum_odde,0.1038,0.0008
2020-06-15,2020-06-27,hoernum_odde,0.0072,0.0275
2020-06-27,2020-07-09,hoernum_odde,0.012,0.0623
2020-07-09,2020-07-15,hoernum_odde,0.0377,0.0604
2020-07-15,2020-08-08,hoernum_odde,0.0706,0.0163
2020-08-08,2020-08-14,hoernum_odde,0.0294,0.008
2020-08-14,2020-09-07,hoernum_odde,0.0314,0.0056
2020-09-07,2020-10-13,hoernum_odde,0.0025,0.1053
2020-10-13,2020-11-06,hoernum_odde,0.0964,0.015
2020-11-06,2020-11-18,hoernum_odde,0.0146,0.0665
2020-11-18,2020-12-06,hoernum_odde,0.0575,0.0394
2020-12-06,2020-12-18,hoernum_odde,0.0116,0.0578
2020-12-18,2021-01-05,hoernum_odde,0.0976,0.0197
2021-01-05,2021-01-17,hoernum_odde,0.0227,0.0211
2021-01-17,2021-03-18,hoernum_odde,0.025,0.585
2021-03-18,2021-03-24,hoernum_odde,0.6597,0.0007
2021-03-24,2021-04-17,hoernum_odde,0.0169,0.0573
2021-04-17,2021-05-17,hoernum_odde,0.0068,0.0525
2021-05-17,2021-06-16,hoernum_odde,0.0019,0.0617
2021-06-16,2021-06-28,hoernum_odde,0.0381,0.0106
2021-06-28,2021-08-03,hoernum_odde,0.0542,0.009
2021-08-03,2021-08-27,hoernum_odde,0.0251,0.0296
2021-08-27,2021-09-02,hoernum_odde,0.006,0.1267
2021-09-02,2021-09-26,hoernum_odde,0.1212,0.0019
2021-09-26,2021-10-02,hoernum_odde,0.005,0.0672
2021-10-02,2021-11-01,hoernum_odde,0.0227,0.0816
2021-11-01,2021-11-07,hoernum_odde,0.113,0.0053
2021-11-07,2021-12-01,hoernum_odde,0.0272,0.064
2021-12-01,2022-03-07,hoernum_odde,0.0472,0.3144
2022-03-07,2022-04-24,hoernum_odde,0.4045,0.0
2022-04-24,2022-05-06,hoernum_odde,0.0009,0.1064
2022-05-06,2022-06-23,hoernum_odde,0.0139,0.0154
2022-06-23,2022-07-17,hoernum_odde,0.0371,0.0032
2022-07-17,2022-08-22,hoernum_odde,0.0007,0.1366
2022-08-22,2022-09-03,hoernum_odde,0.1974,0.0007
2022-09-03,2022-11-14,hoernum_odde,0.0277,0.0458
2022-11-14,2022-12-20,hoernum_odde,0.006,0.2063
2022-12-20,2023-01-25,hoernum_odde,0.156,0.0037
2023-01-25,2023-05-13,hoernum_odde,0.0205,0.0316
2023-05-13,2023-05-25,hoernum_odde,0.0301,0.0056
2023-05-25,2023-07-12,hoernum_odde,0.0019,0.0926
2023-07-12,2023-08-05,hoernum_odde,0.0842,0.0103
2023-08-05,2023-09-10,hoernum_odde,0.006,0.1723
2023-09-10,2024-07-30,hoernum_odde,0.0737,0.015
2024-07-30,2024-12-09,hoernum_odde,0.0252,0.0459
2017-01-02,2017-01-08,list_ellenbogen,0.0437,0.3565
2017-01-08,2017-01-14,list_ellenbogen,1.3611,4.9056
2017-01-14,2017-02-01,list_ellenbogen,5.0434,0.8157
2017-02-01,2017-03-15,list_ellenbogen,2.2631,0.0
2017-03-15,2017-04-14,list_ellenbogen,0.0044,1.1374
2017-04-14,2017-04-20,list_ellenbogen,0.508,0.0954
2017-04-20,2017-05-02,list_ellenbogen,0.5854,0.0041
2017-05-02,2017-05-20,list_ellenbogen,0.0,2.646
2017-05-20,2017-06-13,list_ellenbogen,1.8107,0.0207
2017-06-13,2017-06-19,list_ellenbogen,0.0207,2.1806
2017-06-19,2017-07-13,list_ellenbogen,2.5081,0.0
2017-07-13,2017-08-18,list_ellenbogen,0.0,2.1245
2017-08-18,2017-10-23,list_ellenbogen,0.1567,0.0951
2017-10-23,2017-11-22,list_ellenbogen,0.4452,0.0021
2017-11-22,2017-12-22,list_ellenbogen,0.0195,0.3527
2017-12-22,2018-01-09,list_ellenbogen,2.7659,0.5747
2018-01-09,2018-01-21,list_ellenbogen,0.5747,2.2637
2018-01-21,2018-01-27,list_ellenbogen,0.0107,0.5868
2018-01-27,2018-02-20,list_ellenbogen,0.0322,0.0975
2018-02-20,2018-04-09,list_ellenbogen,1.0757,0.0085
2018-04-09,2018-05-03,list_ellenbogen,0.025,0.7507
2018-05-03,2018-05-09,list_ellenbogen,0.5052,0.0395
2018-05-09,2018-05-21,list_ellenbogen,0.1254,0.1957
2018-05-21,2018-06-02,list_ellenbogen,0.0014,0.78
2018-06-02,2018-07-02,list_ellenbogen,0.0184,0.2509
2018-07-02,2018-07-08,list_ellenbogen,1.177,0.017
2018-07-08,2018-08-01,list_ellenbogen,0.0149,1.0373
2018-08-01,2018-08-07,list_ellenbogen,0.3128,0.037
2018-08-07,2018-08-31,list_ellenbogen,0.9784,0.0632
2018-08-31,2018-09-12,list_ellenbogen,0.0883,0.6931
2018-09-12,2018-11-11,list_ellenbogen,0.0031,0.5955
2018-11-11,2018-11-17,list_ellenbogen,0.3796,0.0094
2018-11-17,2018-11-29,list_ellenbogen,0.15,0.0709
2018-11-29,2018-12-11,list_ellenbogen,0.1504,0.124
2018-12-11,2019-01-10,list_ellenbogen,0.0046,0.4585
2019-01-10,2019-02-09,list_ellenbogen,0.2936,0.0198
2019-02-09,2019-03-17,list_ellenbogen,0.3839,0.0199
2019-03-17,2019-03-29,list_ellenbogen,0.2839,0.2633
2019-03-29,2019-04-10,list_ellenbogen,0.5206,0.1083
2019-04-10,2019-04-28,list_ellenbogen,0.0021,1.0126
2019-04-28,2019-05-22,list_ellenbogen,2.6782,0.0558
2019-05-22,2019-05-28,list_ellenbogen,0.0581,2.1969
2019-05-28,2019-06-21,list_ellenbogen,0.0953,0.4169
2019-06-21,2019-06-27,list_ellenbogen,1.8077,0.0455
2019-06-27,2019-07-27,list_ellenbogen,0.2143,0.5299
2019-07-27,2019-08-26,list_ellenbogen,0.0309,1.9701
2019-08-26,2019-09-19,list_ellenbogen,1.4733,0.0005
2019-09-19,2019-09-25,list_ellenbogen,0.0016,1.1529
2019-09-25,2019-10-25,list_ellenbogen,0.2068,0.131
2019-10-25,2019-11-18,list_ellenbogen,0.0577,0.1502
2019-11-18,2019-11-30,list_ellenbogen,0.1463,0.0144
2019-11-30,2020-02-10,list_ellenbogen,1.8355,0.0039
2020-02-10,2020-03-05,list_ellenbogen,0.0014,1.784
2020-03-05,2020-03-11,list_ellenbogen,0.9786,0.0023
2020-03-11,2020-04-16,list_ellenbogen,1.5093,0.1458
2020-04-16,2020-04-28,list_ellenbogen,0.0606,0.6002
2020-04-28,2020-05-16,list_ellenbogen,0.9166,0.0198
2020-05-16,2020-05-28,list_ellenbogen,0.0113,1.0799
2020-05-28,2020-06-09,list_ellenbogen,0.0011,1.5439
2020-06-09,2020-06-15,list_ellenbogen,0.8562,0.1113
2020-06-15,2020-06-27,list_ellenbogen,0.3526,0.1989
2020-06-27,2020-07-09,list_ellenbogen,0.0365,0.8585
2020-07-09,2020-07-15,list_ellenbogen,0.1642,0.0857
2020-07-15,2020-08-08,list_ellenbogen,0.1254,0.1695
2020-08-08,2020-08-14,list_ellenbogen,0.8875,0.0214
2020-08-14,2020-09-07,list_ellenbogen,0.0076,1.0084
2020-09-07,2020-10-13,list_ellenbogen,0.0379,0.1553
2020-10-13,2020-11-06,list_ellenbogen,0.2449,0.0345
2020-11-06,2020-11-18,list_ellenbogen,0.1578,0.0554
2020-11-18,2020-12-06,list_ellenbogen,0.0198,0.2732
2020-12-06,2020-12-18,list_ellenbogen,0.0704,0.0621
2020-12-18,2021-01-05,list_ellenbogen,1.4978,0.006
2021-01-05,2021-01-17,list_ellenbogen,0.5171,0.2742
2021-01-17,2021-03-18,list_ellenbogen,0.0813,0.9633
2021-03-18,2021-03-24,list_ellenbogen,0.9576,0.0526
2021-03-24,2021-04-17,list_ellenbogen,0.0742,0.5693
2021-04-17,2021-05-17,list_ellenbogen,0.0469,0.6961
2021-05-17,2021-06-16,list_ellenbogen,0.0136,0.6152
2021-06-16,2021-06-28,list_ellenbogen,0.4086,0.0216
2021-06-28,2021-08-03,list_ellenbogen,1.0701,0.0967
2021-08-03,2021-08-27,list_ellenbogen,0.3938,0.1823
2021-08-27,2021-09-02,list_ellenbogen,0.0,2.2331
2021-09-02,2021-09-26,list_ellenbogen,2.1417,0.0046
2021-09-26,2021-10-02,list_ellenbogen,0.0,1.7316
2021-10-02,2021-11-01,list_ellenbogen,0.2281,0.0156
2021-11-01,2021-11-07,list_ellenbogen,1.2263,0.0
2021-11-07,2021-12-01,list_ellenbogen,0.0,1.3154
2021-12-01,2022-03-07,list_ellenbogen,0.5743,0.1453
2022-03-07,2022-04-24,list_ellenbogen,1.8627,0.0064
2022-04-24,2022-05-06,list_ellenbogen,0.0023,1.0953
2022-05-06,2022-06-23,list_ellenbogen,0.0198,1.5227
2022-06-23,2022-07-17,list_ellenbogen,1.7574,0.003
2022-07-17,2022-08-22,list_ellenbogen,0.0007,1.4511
2022-08-22,2022-09-03,list_ellenbogen,2.5278,0.0
2022-09-03,2022-11-14,list_ellenbogen,0.0345,0.7453
2022-11-14,2022-12-20,list_ellenbogen,0.0011,1.7925
2022-12-20,2023-01-25,list_ellenbogen,0.9008,0.0023
2023-01-25,2023-05-13,list_ellenbogen,0.4775,0.3124
2023-05-13,2023-05-25,list_ellenbogen,0.517,0.0285
2023-05-25,2023-07-12,list_ellenbogen,0.0007,1.4926
2023-07-12,2023-08-05,list_ellenbogen,1.0316,0.0023
2023-08-05,2023-09-10,list_ellenbogen,0.0,1.6038
2023-09-10,2024-07-30,list_ellenbogen,0.3848,0.0343
2024-07-30,2024-12-09,list_ellenbogen,0.0751,0.2238
2017-01-02,2017-01-08,rotes_kliff_kampen,0.1971,0.014
2017-01-08,2017-01-14,rotes_kliff_kampen,0.2564,1.5965
2017-01-14,2017-02-01,rotes_kliff_kampen,1.7189,0.066
2017-02-01,2017-03-15,rotes_kliff_kampen,0.1766,0.1137
2017-03-15,2017-04-14,rotes_kliff_kampen,0.0417,0.3085
2017-04-14,2017-04-20,rotes_kliff_kampen,0.3253,0.0117
2017-04-20,2017-05-02,rotes_kliff_kampen,0.0794,0.0058
2017-05-02,2017-05-20,rotes_kliff_kampen,0.0,0.4536
2017-05-20,2017-06-13,rotes_kliff_kampen,0.2969,0.1007
2017-06-13,2017-06-19,rotes_kliff_kampen,0.1073,0.2697
2017-06-19,2017-07-13,rotes_kliff_kampen,0.3043,0.0568
2017-07-13,2017-08-18,rotes_kliff_kampen,0.0483,0.3938
2017-08-18,2017-10-23,rotes_kliff_kampen,0.1457,0.0508
2017-10-23,2017-11-22,rotes_kliff_kampen,0.1085,0.0801
2017-11-22,2017-12-22,rotes_kliff_kampen,0.1413,0.0286
2017-12-22,2018-01-09,rotes_kliff_kampen,0.4063,0.0
2018-01-09,2018-01-21,rotes_kliff_kampen,0.0,0.3499
2018-01-21,2018-01-27,rotes_kliff_kampen,0.0108,0.0301
2018-01-27,2018-02-20,rotes_kliff_kampen,0.018,0.0352
2018-02-20,2018-04-09,rotes_kliff_kampen,0.1044,0.0074
2018-04-09,2018-05-03,rotes_kliff_kampen,0.0071,0.2148
2018-05-03,2018-05-09,rotes_kliff_kampen,0.2059,0.0078
2018-05-09,2018-05-21,rotes_kliff_kampen,0.0048,0.0253
2018-05-21,2018-06-02,rotes_kliff_kampen,0.0,0.1113
2018-06-02,2018-07-02,rotes_kliff_kampen,0.0,0.1918
2018-07-02,2018-07-08,rotes_kliff_kampen,0.1887,0.1588
2018-07-08,2018-08-01,rotes_kliff_kampen,0.0815,0.2286
2018-08-01,2018-08-07,rotes_kliff_kampen,0.1764,0.0209
2018-08-07,2018-08-31,rotes_kliff_kampen,0.2248,0.1954
2018-08-31,2018-09-12,rotes_kliff_kampen,0.0765,0.1127
2018-09-12,2018-11-11,rotes_kliff_kampen,0.1972,0.303
2018-11-11,2018-11-17,rotes_kliff_kampen,0.3147,0.0
2018-11-17,2018-11-29,rotes_kliff_kampen,0.0361,0.0675
2018-11-29,2018-12-11,rotes_kliff_kampen,0.0536,0.3705
2018-12-11,2019-01-10,rotes_kliff_kampen,0.137,0.1288
2019-01-10,2019-02-09,rotes_kliff_kampen,0.1173,0.0523
2019-02-09,2019-03-17,rotes_kliff_kampen,0.1139,0.1068
2019-03-17,2019-03-29,rotes_kliff_kampen,0.2376,0.0198
2019-03-29,2019-04-10,rotes_kliff_kampen,0.1235,0.0716
2019-04-10,2019-04-28,rotes_kliff_kampen,0.0236,0.2856
2019-04-28,2019-05-22,rotes_kliff_kampen,0.4029,0.1991
2019-05-22,2019-05-28,rotes_kliff_kampen,0.1338,0.3234
2019-05-28,2019-06-21,rotes_kliff_kampen,0.1686,0.0676
2019-06-21,2019-06-27,rotes_kliff_kampen,0.1905,0.2138
2019-06-27,2019-07-27,rotes_kliff_kampen,0.3111,0.0539
2019-07-27,2019-08-26,rotes_kliff_kampen,0.0,0.1748
2019-08-26,2019-09-19,rotes_kliff_kampen,0.1695,0.2557
2019-09-19,2019-09-25,rotes_kliff_kampen,0.2303,0.1427
2019-09-25,2019-10-25,rotes_kliff_kampen,0.025,0.2544
2019-10-25,2019-11-18,rotes_kliff_kampen,0.2367,0.053
2019-11-18,2019-11-30,rotes_kliff_kampen,0.0415,0.2721
2019-11-30,2020-02-10,rotes_kliff_kampen,0.446,0.1308
2020-02-10,2020-03-05,rotes_kliff_kampen,0.2074,0.2744
2020-03-05,2020-03-11,rotes_kliff_kampen,0.2116,0.051
2020-03-11,2020-04-16,rotes_kliff_kampen,0.1876,0.0591
2020-04-16,2020-04-28,rotes_kliff_kampen,0.0694,0.1119
2020-04-28,2020-05-16,rotes_kliff_kampen,0.2005,0.1156
2020-05-16,2020-05-28,rotes_kliff_kampen,0.0885,0.2391
2020-05-28,2020-06-09,rotes_kliff_kampen,0.0283,0.2101
2020-06-09,2020-06-15,rotes_kliff_kampen,0.1937,0.0005
2020-06-15,2020-06-27,rotes_kliff_kampen,0.0097,0.0237
2020-06-27,2020-07-09,rotes_kliff_kampen,0.0002,0.1617
2020-07-09,2020-07-15,rotes_kliff_kampen,0.0985,0.0676
2020-07-15,2020-08-08,rotes_kliff_kampen,0.1163,0.031
2020-08-08,2020-08-14,rotes_kliff_kampen,0.0614,0.0
2020-08-14,2020-09-07,rotes_kliff_kampen,0.0226,0.0626
2020-09-07,2020-10-13,rotes_kliff_kampen,0.0221,0.2935
2020-10-13,2020-11-06,rotes_kliff_kampen,0.2351,0.0638
2020-11-06,2020-11-18,rotes_kliff_kampen,0.0559,0.0713
2020-11-18,2020-12-06,rotes_kliff_kampen,0.1342,0.0321
2020-12-06,2020-12-18,rotes_kliff_kampen,0.0048,0.156
2020-12-18,2021-01-05,rotes_kliff_kampen,0.2627,0.0209
2021-01-05,2021-01-17,rotes_kliff_kampen,0.05,0.0296
2021-01-17,2021-03-18,rotes_kliff_kampen,0.0119,0.1155
2021-03-18,2021-03-24,rotes_kliff_kampen,0.1219,0.0562
2021-03-24,2021-04-17,rotes_kliff_kampen,0.087,0.0562
2021-04-17,2021-05-17,rotes_kliff_kampen,0.0223,0.0757
