date,region,land_km2,water_km2,land_fraction
2017-01-02,hoernum_odde,1.3101,5.138,0.20318
2017-01-08,hoernum_odde,1.2045,5.2435,0.18681
2017-01-14,hoernum_odde,1.1616,5.2865,0.18015
2017-02-01,hoernum_odde,1.0988,5.3492,0.17041
2017-03-15,hoernum_odde,1.0627,5.3854,0.16481
2017-04-14,hoernum_odde,1.1795,5.2685,0.18293
2017-04-20,hoernum_odde,0.9729,5.4752,0.15088
2017-05-02,hoernum_odde,0.9723,5.4757,0.15079
2017-05-20,hoernum_odde,1.1721,5.2759,0.18178
2017-06-13,hoernum_odde,1.1502,5.2979,0.17837
2017-06-19,hoernum_odde,1.1523,5.2958,0.1787
2017-07-13,hoernum_odde,1.073,5.375,0.16641
2017-08-18,hoernum_odde,2.2003,4.2477,0.34124
2017-10-23,hoernum_odde,1.1959,5.2521,0.18547
2017-11-22,hoernum_odde,1.1039,5.3441,0.17121
2017-12-22,hoernum_odde,1.0943,5.3538,0.16971
2018-01-09,hoernum_odde,0.9509,5.4971,0.14748
2018-01-21,hoernum_odde,1.155,5.2931,0.17913
2018-01-27,hoernum_odde,1.0984,5.3496,0.17035
2018-02-20,hoernum_odde,1.1688,5.2792,0.18127
2018-04-09,hoernum_odde,1.0136,5.4345,0.15719
2018-05-03,hoernum_odde,1.1214,5.3267,0.17391
2018-05-09,hoernum_odde,1.0771,5.371,0.16704
2018-05-21,hoernum_odde,1.1129,5.3352,0.17259
2018-06-02,hoernum_odde,1.1969,5.2511,0.18563
2018-07-02,hoernum_odde,1.281,5.167,0.19867
2018-07-08,hoernum_odde,1.1355,5.3125,0.1761
2018-08-01,hoernum_odde,1.4244,5.0237,0.22091
2018-08-07,hoernum_odde,6.0564,0.3917,0.93926
2018-08-31,hoernum_odde,1.1136,5.3345,0.1727
2018-09-12,hoernum_odde,1.1306,5.3174,0.17535
2018-11-11,hoernum_odde,1.3403,5.1078,0.20786
2018-11-17,hoernum_odde,1.1154,5.3327,0.17298
2018-11-29,hoernum_odde,1.1327,5.3154,0.17566
2018-12-11,hoernum_odde,6.4481,0.0,1.0
2019-01-10,hoernum_odde,1.2765,5.1716,0.19796
2019-02-09,hoernum_odde,1.1407,5.3074,0.1769
2019-03-17,hoernum_odde,1.1743,5.2737,0.18212
2019-03-29,hoernum_odde,1.0217,5.4264,0.15845
2019-04-10,hoernum_odde,1.0537,5.3944,0.16341
2019-04-28,hoernum_odde,1.1423,5.3058,0.17715
2019-05-22,hoernum_odde,1.0531,5.395,0.16331
2019-05-28,hoernum_odde,1.1268,5.3213,0.17475
2019-06-21,hoernum_odde,1.1365,5.3116,0.17625
2019-06-27,hoernum_odde,1.1986,5.2495,0.18588
2019-07-27,hoernum_odde,1.0839,5.3641,0.1681
2019-08-26,hoernum_odde,1.2008,5.2473,0.18622
2019-09-19,hoernum_odde,2.3115,4.1366,0.35847
2019-09-25,hoernum_odde,1.1974,5.2507,0.18569
2019-10-25,hoernum_odde,1.1578,5.2902,0.17956
2019-11-18,hoernum_odde,1.1174,5.3307,0.17329
2019-11-30,hoernum_odde,1.1872,5.2608,0.18412
2020-02-10,hoernum_odde,1.1008,5.3473,0.17071
2020-03-05,hoernum_odde,1.1158,5.3323,0.17304
2020-03-11,hoernum_odde,1.0461,5.402,0.16224
2020-04-16,hoernum_odde,0.9474,5.5007,0.14693
2020-04-28,hoernum_odde,0.9926,5.4555,0.15394
2020-05-16,hoernum_odde,0.9646,5.4834,0.1496
2020-05-28,hoernum_odde,2.635,3.813,0.40866
2020-06-09,hoernum_odde,1.1546,5.2935,0.17905
2020-06-15,hoernum_odde,1.0516,5.3965,0.16308
2020-06-27,hoernum_odde,1.0719,5.3761,0.16624
2020-07-09,hoernum_odde,1.1222,5.3259,0.17404
2020-07-15,hoernum_odde,1.1449,5.3032,0.17755
2020-08-08,hoernum_odde,1.0906,5.3574,0.16914
2020-08-14,hoernum_odde,1.0692,5.3788,0.16582
2020-09-07,hoernum_odde,1.0434,5.4046,0.16182
2020-10-13,hoernum_odde,1.1462,5.3019,0.17775
2020-11-06,hoernum_odde,1.0648,5.3832,0.16514
2020-11-18,hoernum_odde,1.1167,5.3314,0.17319
2020-12-06,hoernum_odde,1.0986,5.3494,0.17038
2020-12-18,hoernum_odde,1.1449,5.3032,0.17755
2021-01-05,hoernum_odde,1.0669,5.3812,0.16546
2021-01-17,hoernum_odde,1.0653,5.3828,0.16521
2021-03-18,hoernum_odde,1.6252,4.8228,0.25205
2021-03-24,hoernum_odde,0.9663,5.4818,0.14985
2021-04-17,hoernum_odde,1.0067,5.4414,0.15612
2021-05-17,hoernum_odde,1.0524,5.3957,0.16321
2021-06-16,hoernum_odde,1.1122,5.3358,0.17249
2021-06-28,hoernum_odde,1.0847,5.3633,0.16823
2021-08-03,hoernum_odde,1.0395,5.4085,0.16122
2021-08-27,hoernum_odde,1.0441,5.404,0.16192
2021-09-02,hoernum_odde,1.1648,5.2833,0.18064
2021-09-26,hoernum_odde,1.0454,5.4026,0.16213
2021-10-02,hoernum_odde,1.1077,5.3404,0.17179
2021-11-01,hoernum_odde,1.1666,5.2815,0.18092
2021-11-07,hoernum_odde,1.0589,5.3892,0.16422
2021-12-01,hoernum_odde,1.0957,5.3524,0.16992
2022-03-07,hoernum_odde,1.3628,5.0852,0.21136
2022-04-24,hoernum_odde,0.9584,5.4897,0.14863
2022-05-06,hoernum_odde,1.0638,5.3842,0.16498
2022-06-23,hoernum_odde,1.0653,5.3827,0.16522
2022-07-17,hoernum_odde,1.0315,5.4166,0.15997
2022-08-22,hoernum_odde,1.1674,5.2807,0.18104
2022-09-03,hoernum_odde,0.9706,5.4774,0.15053
2022-11-14,hoernum_odde,0.9888,5.4593,0.15335
2022-12-20,hoernum_odde,1.189,5.259,0.1844
2023-01-25,hoernum_odde,1.0367,5.4113,0.16078
2023-05-13,hoernum_odde,1.0478,5.4003,0.1625
2023-05-25,hoernum_odde,1.0233,5.4248,0.1587
2023-07-12,hoernum_odde,1.114,5.3341,0.17276
2023-08-05,hoernum_odde,1.0401,5.4079,0.16131
2023-09-10,hoernum_odde,1.2065,5.2416,0.18711
2024-07-30,hoernum_odde,1.1478,5.3003,0.17801
2024-12-09,hoernum_odde,1.1685,5.2796,0.18122
2017-01-02,list_ellenbogen,2.8188,9.6116,0.22677
2017-01-08,list_ellenbogen,3.1316,9.2988,0.25193
2017-01-14,list_ellenbogen,6.6761,5.7542,0.53708
2017-02-01,list_ellenbogen,2.4484,9.982,0.19697
